Paper name,Paper Link,Dataset Link,Abstract,submitted by (TA),Difficulty,Domain(s),Code,Tasks [optional]
Temporal Segment Networks,https://arxiv.org/abs/1705.02953,https://asankagp.github.io/mod20/,"Deep convolutional networks have achieved great success for image recognition. However, for action recognition in videos, their advantage over traditional methods is not so evident. We present a general and flexible video-level framework for learning action models in videos. This method, called temporal segment network (TSN), aims to model long-range temporal structures with a new segment-based sampling and aggregation module. This unique design enables our TSN to efficiently learn action models by using the whole action videos. The learned models could be easily adapted for action recognition in both trimmed and untrimmed videos with simple average pooling and multi-scale temporal window integration, respectively. We also study a series of good practices for the instantiation of TSN framework given limited training samples. Our approach obtains the state-the-of-art performance on four challenging action recognition benchmarks: HMDB51 (71.0%), UCF101 (94.9%), THUMOS14 (80.1%), and ActivityNet v1.2 (89.6%). Using the proposed RGB difference for motion models, our method can still achieve competitive accuracy on UCF101 (91.0%) while running at 340 FPS. Furthermore, based on the temporal segment networks, we won the video classification track at the ActivityNet challenge 2016 among 24 teams, which demonstrates the effectiveness of TSN and the proposed good practices.",Achleshwar,Medium,"Action Recognition, Computer Vision",Y,
Focal Loss for Dense Object Detection,https://arxiv.org/pdf/1708.02002v2.pdf,https://cocodataset.org/#download,"The highest accuracy object detectors to date are based on a two-stage approach popularized by R-CNN, where a classifier is applied to a sparse set of candidate object locations. In contrast, one-stage detectors that are applied over a regular, dense sampling of possible object locations have the potential to be faster and simpler, but have trailed the accuracy of two-stage detectors thus far. In this paper, we investigate why this is the case. We discover that the extreme foreground-background class imbalance encountered during training of dense detectors is the central cause. We propose to address this class imbalance by reshaping the standard cross entropy loss such that it down-weights the loss assigned to well-classified examples. Our novel Focal Loss focuses training on a sparse set of hard examples and prevents the vast number of easy negatives from overwhelming the detector during training. To evaluate the effectiveness of our loss, we design and train a simple dense detector we call RetinaNet. Our results show that when trained with the focal loss, RetinaNet is able to match the speed of previous one-stage detectors while surpassing the accuracy of all existing state-of-the-art two-stage detectors. Code is at: https://github.com/facebookresearch/Detectron.",Achleshwar,Medium,"Object Detection, Computer Vision",Y,
One-Shot Object Detection with Co-Attention and Co-Excitation,https://arxiv.org/pdf/1911.12529v1.pdf,https://cocodataset.org/#download,"This paper aims to tackle the challenging problem of one-shot object detection. Given a query image patch whose class label is not included in the training data, the goal of the task is to detect all instances of the same class in a target image. To this end, we develop a novel co-attention and co-excitation (CoAE) framework that makes contributions in three key technical aspects. First, we propose to use the nonlocal operation to explore the co-attention embodied in each query-target pair and yield region proposals accounting for the one-shot situation. Second, we formulate a squeeze-and-co-excitation scheme that can adaptively emphasize correlated feature channels to help uncover relevant proposals and eventually the target objects. Third, we design a margin-based ranking loss for implicitly learning a metric to predict the similarity of a region proposal to the underlying query, no matter its class label is seen or unseen in training. The resulting model is therefore a two-stage detector that yields a strong baseline on both VOC and MS-COCO under one-shot setting of detecting objects from both seen and never-seen classes.",Achleshwar,Medium,"Object Detection, One-shot Learning, Computer Vision",Y,
DensePose: Dense Human Pose Estimation In The Wild,https://arxiv.org/pdf/1802.00434v1.pdf,https://cocodataset.org/#densepose-2020,"In this work, we establish dense correspondences between an RGB image and a surface-based representation of the human body, a task we refer to as dense human pose estimation. We first gather dense correspondences for 50K persons appearing in the COCO dataset by introducing an efficient annotation pipeline. We then use our dataset to train CNN-based systems that deliver dense correspondence ‘in the wild’, namely in the presence of background, occlusions and scale variations. We improve our training set’s effectiveness by training an ‘inpainting’ network that can fill in missing ground truth values, and report clear improvements with respect to the best results that would be achievable in the past. We experiment with fullyconvolutional networks and region-based models and observe a superiority of the latter; we further improve accuracy through cascading, obtaining a system that delivers highly-accurate results in real time.",Achleshwar,Medium,"Pose Estimation, Computer Vision",Y,
Sparse-to-Dense: Depth Prediction from Sparse Depth Samples and a Single Image,https://arxiv.org/abs/1709.07492,https://cs.nyu.edu/~silberman/datasets/nyu_depth_v2.html,"We consider the problem of dense depth prediction from a sparse set of depth measurements and a single RGB image. Since depth estimation from monocular images alone is inherently ambiguous and unreliable, to attain a higher level of robustness and accuracy, we introduce additional sparse depth samples, which are either acquired with a low-resolution depth sensor or computed via visual Simultaneous Localization and Mapping (SLAM) algorithms. We propose the use of a single deep regression network to learn directly from the RGB-D raw data, and explore the impact of number of depth samples on prediction accuracy. Our experiments show that, compared to using only RGB images, the addition of 100 spatially random depth samples reduces the prediction root-mean-square error by 50% on the NYU-Depth-v2 indoor dataset. It also boosts the percentage of reliable prediction from 59% to 92% on the KITTI dataset. We demonstrate two applications of the proposed algorithm: a plug-in module in SLAM to convert sparse maps to dense maps, and super-resolution for LiDARs",Tanuj,Medium,"Depth Estimation, Computer Vision ",Y,
Dual Attention Network for Scene Segmentation,https://arxiv.org/pdf/1809.02983v4.pdf,https://www.cityscapes-dataset.com/downloads/,"In this paper, we address the scene segmentation task by capturing rich contextual dependencies based on the selfattention mechanism. Unlike previous works that capture contexts by multi-scale features fusion, we propose a Dual Attention Networks (DANet) to adaptively integrate local features with their global dependencies. Specifically, we append two types of attention modules on top of traditional dilated FCN, which model the semantic interdependencies in spatial and channel dimensions respectively. The position attention module selectively aggregates the features at each position by a weighted sum of the features at all positions. Similar features would be related to each other regardless of their distances. Meanwhile, the channel attention module selectively emphasizes interdependent channel maps by integrating associated features among all channel maps. We sum the outputs of the two attention modules to further improve feature representation which contributes to more precise segmentation results. We achieve new state-of-the-art segmentation performance on three challenging scene segmentation datasets, i.e., Cityscapes, PASCAL Context and COCO Stuff dataset. In particular, a Mean IoU score of 81.5% on Cityscapes test set is achieved without using coarse data.",Tanuj,Medium,"Segmantation, Computer Vision",Y,
One-Shot Instance Segmentation,https://arxiv.org/pdf/1811.11507v2.pdf,https://cocodataset.org/#download,"We tackle the problem of one-shot instance segmentation: Given an example image of a novel, previously unknown object category, find and segment all objects of this category within a complex scene. To address this challenging new task, we propose Siamese Mask R-CNN. It extends Mask R-CNN by a Siamese backbone encoding both reference image and scene, allowing it to target detection and segmentation towards the reference category. We demonstrate empirical results on MS Coco highlighting challenges of the one-shot setting: while transferring knowledge about instance segmentation to novel object categories works very well, targeting the detection network towards the reference category appears to be more difficult. Our work provides a first strong baseline for one-shot instance segmentation and will hopefully inspire further research into more powerful and flexible scene analysis algorithms.",Tanuj,Medium,"One-Short Learning, Segmentation, Computer Vision",Y,
"Delete, Retrieve, Generate:A Simple Approach to Sentiment and Style Transfer",https://arxiv.org/pdf/1804.06437.pdf,https://github.com/rpryzant/delete_retrieve_generate/tree/master/data,"We consider the task of text attribute transfer:transforming a sentence to alter a specific at-tribute (e.g., sentiment) while preserving itsattribute-independent content (e.g., changing“screen is just the right size”to“screen is toosmall”). Our training data includes only sen-tences labeled with their attribute (e.g., pos-itive or negative), but not pairs of sentencesthat differ only in their attributes, so we mustlearn to disentangle attributes from attribute-independent content in an unsupervised way.Previous work using adversarial methods hasstruggled to produce high-quality outputs. Inthis paper, we propose simpler methods mo-tivated by the observation that text attributesare often marked by distinctive phrases (e.g.,“too small”). Our strongest method extractscontent words by deleting phrases associatedwith the sentence’s original attribute value, re-trieves new phrases associated with the targetattribute, and uses a neural model to fluentlycombine these into a final output. On humanevaluation, our best method generates gram-matical and appropriate responses on22%more inputs than the best previous system, av-eraged over three attribute transfer datasets:altering sentiment of reviews on Yelp, alteringsentiment of reviews on Amazon, and alteringimage captions to be more romantic or humor-ous",Shaily,medium,"Natural Language Processing, Style Transfer",Y,
Adapt or Get Left Behind: Domain Adaptation through BERT Language Model Finetuning for Aspect-Target Sentiment Classification,https://arxiv.org/pdf/1908.11860.pdf,https://www.yelp.com/dataset/download ; https://www.yelp.com/dataset/download ,"Aspect-TargetSentimentClassification(ATSC) is a subtask of Aspect-Based Sen-timent Analysis (ABSA), which has manyapplications e.g. in e-commerce, where dataand insights from reviews can be leveragedto create value for businesses and customers.Recently,deep transfer-learning methodshave been applied successfully to a myriadof Natural Language Processing (NLP) tasks,including ATSC. Building on top of the promi-nent BERT language model, we approachATSC using a two-step procedure:self-supervised domain-specific BERT languagemodel finetuning, followed by supervisedtask-specific finetuning.Our findings onhow to best exploit domain-specific languagemodel finetuning enable us to produce newstate-of-the-art performance on the SemEval2014 Task 4 restaurants dataset. In addition,to explore the real-world robustness of ourmodels, we perform cross-domain evaluation.We show that a cross-domain adapted BERTlanguage model performs significantly betterthan strong baseline models like vanillaBERT-base and XLNet-base.Finally, weconduct a case study to interpret modelprediction errors",Shaily,medium,"Natural Language Processing, Sentiment Analysis",Y,
"Don't Give Me the Details, Just the Summary! Topic-Aware Convolutional Neural Networks for Extreme Summarization",https://arxiv.org/pdf/1808.08745.pdf,https://github.com/EdinburghNLP/XSum/tree/master/XSum-Dataset,"We introduce extreme summarization, a new single-document summarization task whichdoes not favor extractive strategies and callsfor an abstractive modeling approach. The idea is to create a short, one-sentence newssummary answering the question “What is thearticle about?”. We collect a real-world, largescale dataset for this task by harvesting onlinearticles from the British Broadcasting Corpo-ration (BBC). We propose a novel abstrac-tive model which is conditioned on the ar-ticle’s topics and based entirely on convolu-tional neural networks. We demonstrate exper-imentally that this architecture captures long-range dependencies in a document and recog-nizes pertinent content, outperforming an or-acle extractive system and state-of-the-art ab-stractive approaches when evaluated automat-ically and by humans",Shaily,medium,"Natural Language Processing, Summarization",y,
Higher-order Coreference Resolution with Coarse-to-fine Inference,https://arxiv.org/pdf/1804.05392.pdf,https://github.com/kentonl/e2e-coref,"We introduce a fully differentiable approxima-tion to higher-order inference for coreferenceresolution. Our approach uses the antecedentdistribution from a span-ranking architectureas an attention mechanism to iteratively re-fine span representations. This enables themodel to softly consider multiple hops in thepredicted clusters. To alleviate the computa-tional cost of this iterative process, we intro-duce a coarse-to-fine approach that incorpo-rates a less accurate but more efficient bilin-ear factor, enabling more aggressive pruningwithout hurting accuracy. Compared to the ex-isting state-of-the-art span-ranking approach,our model significantly improves accuracy onthe English OntoNotes benchmark, while be-ing far more computationally efficient",Shaily,medium,"Natural Language Processing, Coreference Resoultion",y,
CE-Net: Context Encoder Network for 2D Medical Image Segmentation,https://arxiv.org/pdf/1903.02740.pdf,https://drive.google.com/open?id=1VPCvVsPgrfPNIl932xgU3XC_WFLUsXJR,"Abstract—Medical image segmentation is an important step
in medical image analysis. With the rapid development of
convolutional neural network in image processing, deep learning
has been used for medical image segmentation, such as optic
disc segmentation, blood vessel detection, lung segmentation, cell
segmentation, etc. Previously, U-net based approaches have been
proposed. However, the consecutive pooling and strided convolu-
tional operations lead to the loss of some spatial information. In
this paper, we propose a context encoder network (referred to as
CE-Net) to capture more high-level information and preserve
spatial information for 2D medical image segmentation. CE-
Net mainly contains three major components: a feature encoder
module, a context extractor and a feature decoder module. We
use pretrained ResNet block as the fixed feature extractor. The
context extractor module is formed by a newly proposed dense
atrous convolution (DAC) block and residual multi-kernel pooling
(RMP) block. We applied the proposed CE-Net to different 2D
medical image segmentation tasks. Comprehensive results show
that the proposed method outperforms the original U-Net method
and other state-of-the-art methods for optic disc segmentation,
vessel detection, lung segmentation, cell contour segmentation
and retinal optical coherence tomography layer segmentation.",Satyam ,Medium,"Segmentation, Object Detection, Computer Vision",y,
Gradient Centralization: A New Optimization Technique for Deep Neural Networks,https://arxiv.org/pdf/2004.01461v2.pdf,https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz,"Optimization techniques are of great importance to effectively and efficiently train a deep neural network (DNN). It has been shown that using the first and second order statistics (e.g., mean and variance) to perform Z-score standardization on network activations or weight vectors, such as batch normalization (BN) and weight standardization (WS), can improve the training performance. Different from these existing methods that mostly operate on activations or weights, we present a newoptimization technique, namely gradient centralization (GC), which operates directly on gradients by centralizing the gradient vectors to have zero mean. GC can be viewed as a projected gradient descent method with a constrained loss function. We show that GC can regularize both the weight space and output feature space so that it can boost the generalization performance of DNNs. Moreover, GC improves the Lipschitzness of the loss function and its gradient so that the training process becomes more efficient and stable. GC is very simple to implement and can be easily embedded into existing gradient based DNN optimizers with only one line of code. It can also be directly used to finetune the pre-trained DNNs. Our experiments on various applications, including general image classification, fine-grained image classification, detection and segmentation, demonstrate that GC can consistently improve the performance of DNN learning. The code of GC can be found at https://github.com/Yonghongwei/Gradient-Centralization.",Satyam ,Medium,"Optimization, Deep Learning",y,
Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,https://arxiv.org/pdf/1511.06434.pdf,https://www.kaggle.com/dataset/504743cb487a5aed565ce14238c6343b7d650ffd28c071f03f2fd9b25819e6c9,"In recent years, supervised learning with convolutional networks (CNNs) has
seen huge adoption in computer vision applications. Comparatively, unsupervised
learning with CNNs has received less attention. In this work we hope to help
bridge the gap between the success of CNNs for supervised learning and unsuper-
vised learning. We introduce a class of CNNs called deep convolutional generative
adversarial networks (DCGANs), that have certain architectural constraints, and
demonstrate that they are a strong candidate for unsupervised learning. Training
on various image datasets, we show convincing evidence that our deep convolu-
tional adversarial pair learns a hierarchy of representations from object parts to
scenes in both the generator and discriminator. Additionally, we use the learned
features for novel tasks - demonstrating their applicability as general image repre-
sentations.",Satyam ,Medium,"Generative Adversarial Networks, Image generation",y,
EfficientDet: Scalable and Efficient Object Detection,https://arxiv.org/pdf/1911.09070.pdf,https://cocodataset.org/#download,"Model efficiency has become increasingly important incomputer vision. In this paper, we systematically study neu-ral network architecture design choices for object detectionand propose several key optimizations to improve efficiency.First, we propose a weighted bi-directional feature pyra-mid network (BiFPN), which allows easy and fast multi-scale feature fusion; Second, we propose a compound scal-ing method that uniformly scales the resolution, depth, andwidth for all backbone, feature network, and box/class pre-diction networks at the same time. Based on these optimiza-tions and better backbones, we have developed a new familyof object detectors, called EfficientDet, which consistentlyachieve much better efficiency than prior art across a widespectrum of resource constraints. In particular, with single-model and single-scale, our EfficientDet-D7 achieves state-of-the-art55.1 APon COCOtest-devwith 77M param-eters and 410B FLOPs1, being4x – 9xsmaller and using13x – 42xfewer FLOPs than previous detectors.",Manasvi,Medium,"Object Detection, Computer Vision",Y,
"You Only Look Once:Unified, Real-Time Object Detection",https://homes.cs.washington.edu/~ali/papers/YOLO.pdf,http://www.image-net.org/download,"We present YOLO, a new approach to object detection.Prior work on object detection repurposes classifiers to per-form detection. Instead, we frame object detection as a re-gression problem to spatially separated bounding boxes andassociated class probabilities. A single neural network pre-dicts bounding boxes and class probabilities directly fromfull images in one evaluation. Since the whole detectionpipeline is a single network, it can be optimized end-to-enddirectly on detection performance.Our unified architecture is extremely fast. Our baseYOLO model processes images in real-time at 45 framesper second. A smaller version of the network, Fast YOLO,processes an astounding 155 frames per second whilestill achieving double the mAP of other real-time detec-tors. Compared to state-of-the-art detection systems, YOLOmakes more localization errors but is less likely to predictfalse positives on background. Finally, YOLO learns verygeneral representations of objects. It outperforms other de-tection methods, including DPM and R-CNN, when gener-alizing from natural images to other domains like artwork",Manasvi,Medium,"Object Detection, Computer Vision",Y,
Optic-Net: A Novel Convolutional Neural Networkfor Diagnosis of Retinal Diseases from OpticalTomography Images,https://arxiv.org/pdf/1910.05672v1.pdf,https://www.kaggle.com/paultimothymooney/kermany2018,"Abstract—Diagnosing different retinal diseases from SpectralDomain Optical Coherence Tomography (SD-OCT) images is achallenging task. Different automated approaches such as imageprocessing, machine learning and deep learning algorithms havebeen used for early detection and diagnosis of retinal diseases.Unfortunately, these are prone to error and computationalinefficiency, which requires further intervention from humanexperts. In this paper, we propose a novel convolution neuralnetwork architecture to successfully distinguish between differentdegeneration of retinal layers and their underlying causes.The proposed novel architecture outperforms other classificationmodels while addressing the issue of gradient explosion. Ourapproach reaches near perfect accuracy of 99.8% and 100% fortwo separately available Retinal SD-OCT data-set respectively.Additionally, our architecture predicts retinal diseases in realtime while outperforming human diagnosticians.Keywords—SD-OCT, Convolutional Neural Networks, RetinalDegeneration; Residual Neural Network; Deep Learning; Com-puter Vision",Manasvi,Medium,"Segmentation, Computer Vision",Y,
DoubleU-Net: A Deep Convolutional NeuralNetwork for Medical Image Segmentation,https://arxiv.org/pdf/2006.04868v2.pdf,https://polyp.grand-challenge.org/databases/,"Semantic image segmentation is the process of la-beling each pixel of an image with its corresponding class. Anencoder-decoder based approach, like U-Net and its variants, isa popular strategy for solving medical image segmentation tasks.To improve the performance of U-Net on various segmentationtasks, we propose a novel architecture called DoubleU-Net, whichis a combination of two U-Net architectures stacked on top of eachother. The first U-Net uses a pre-trained VGG-19 as the encoder,which has already learned features from ImageNet and can betransferred to another task easily. To capture more semanticinformation efficiently, we added another U-Net at the bottom.We also adopt Atrous Spatial Pyramid Pooling (ASPP) to capturecontextual information within the network. We have evaluatedDoubleU-Net using four medical segmentation datasets, coveringvarious imaging modalities such as colonoscopy, dermoscopy, andmicroscopy. Experiments on the 2015 MICCAI sub-challenge onautomatic polyp detection dataset, the CVC-ClinicDB, the 2018Data Science Bowl challenge, and the Lesion boundary segmen-tation datasets demonstrate that the DoubleU-Net outperformsU-Net and the baseline models. Moreover, DoubleU-Net producesmore accurate segmentation masks, especially in the case of theCVC-ClinicDB and 2015 MICCAI sub-challenge on automaticpolyp detection dataset, which have challenging images such assmaller and flat polyps. These results show the improvementover the existing U-Net model. The encouraging results, pro-duced on various medical image segmentation datasets, showthat DoubleU-Net can be used as a strong baseline for bothmedical image segmentation and cross-dataset evaluation testingto measure the generalizability of Deep Learning (DL) models.Index Terms—semantic segmentation, convolutional neuralnetwork, U-Net, DoubleU-Net, CVC-ClinicDB, ETIS-Larib,ASPP, 2015 MICCAI sub-challenge on automatic polyp detec-tion, 2018 Data Science Bowl, Lesion Boundary Segmentationchallenge",Manasvi,Medium,"Segmentation, Computer Vision",Y,
Style Transfer Through Back-Translation,https://arxiv.org/pdf/1804.09000.pdf,"Political slant transfer - http://tts.speech.cs.cmu.edu/style_models/political_data.tar
Gender Transfer - http://tts.speech.cs.cmu.edu/style_models/gender_data.tar
Multiple attribute text rewriting - http://tts.speech.cs.cmu.edu/style_models/yelp_reviews.txt
http://tts.speech.cs.cmu.edu/style_models/yelp_attrs.txt","Style transfer is the task of rephrasing the
text to contain specific stylistic properties without changing the intent or affect
within the context. This paper introduces
a new method for automatic style transfer. We first learn a latent representation of
the input sentence which is grounded in a
language translation model in order to better preserve the meaning of the sentence
while reducing stylistic properties. Then
adversarial generation techniques are used
to make the output match the desired style.
We evaluate this technique on three different style transformations: sentiment,
gender and political slant. Compared
to two state-of-the-art style transfer modeling techniques we show improvements
both in automatic evaluation of style transfer and in manual evaluation of meaning
preservation and fluency",Sanchit,Medium,"Natural Language Processing, Style Transfer",Y,
Neural Machine Translation by Jointly Learning to Align and Translate,https://arxiv.org/abs/1409.0473,"Dataset: Train (English, Vietnamese)
Dataset: Test (English, Vietnamese)","Neural machine translation is a recently proposed approach to machine translation. Unlike the traditional statistical machine translation, the neural machine translation aims at building a single neural network that can be jointly tuned to maximize the translation performance. The models proposed recently for neural machine translation often belong to a family of encoder–decoders and encoder source sentence into a fixed-length vector from which a decoder generates a translation. In this paper, we conjecture that the use of a fixed-length vector is a bottleneck in improving the performance of this basic encoder-decoder architecture, and propose to extend this by allowing a model to automatically (soft-)search for parts of a source sentence that are relevant to predicting a target word, without having to form these parts like a hard segment explicitly. With this new approach, we achieve a translation performance comparable to the existing state-of-the-art phrase-based system on the task of English-to-French translation. Furthermore, qualitative analysis reveals that the (soft-)alignments found by the model agree well with our intuition.",Sanchit,Medium,"Natural Language Processing, Machine Translation, Attention",Y,
Deep Pyramid Convolutional Neural Networks for Text Categorization,https://pdfs.semanticscholar.org/2f79/66bd3bc7aaf64c7db40fb7f3309f5207cbf7.pdf?_ga=2.81462615.1581587070.1564247907-742172260.1564247907,Yelp full review dataset -https://s3.amazonaws.com/fast-ai-nlp/yelp_review_full_csv.tgz,"This paper proposes a low-complexity word-level deep convolutional neural network (CNN) architecture for text categorization that can efficiently represent long-range associations in text. In the literature, several deep and complex neural networks have been proposed for this task, assuming availability of relatively large amounts of training data. However, the associated computational complexity increases as the networks go deeper, which poses serious challenges in practical applications. Moreover, it was shown recently that shallow word-level CNNs are more accurate and much faster than the state-of-the-art very deep nets such as character-level CNNs even in the setting of large training data. Motivated by these findings, we carefully studied deepening of word-level CNNs to capture global representations of text, and found a simple network architecture with which the best accuracy can be obtained by increasing the network depth without increasing computational cost by much. We call it deep pyramid CNN. The proposed model with 15 weight layers outperforms the previous best models on six benchmark datasets for sentiment classification and topic categorization.",Sanchit,Medium,"Natural Language Processing, Classification",Y,
Attention Is All You Need,https://arxiv.org/abs/1706.03762,http://www.cs.toronto.edu/~pekhimenko/tbd/datasets.html,"The dominant sequence transduction models are based on complex recurrent or convolutional neural networks in an encoder-decoder configuration. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 English-to-German translation task, improving over the existing best results, including ensembles by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.8 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature. We show that the Transformer generalizes well to other tasks by applying it successfully to English constituency parsing both with large and limited training data.",Siddharth,Medium,"Natural Language Processing, Transformers",Y,
TransGAN: Two Transformers Can Make One Strong GAN,https://arxiv.org/abs/2102.07074v2,"https://cs.stanford.edu/~acoates/stl10/ , https://www.cs.toronto.edu/~kriz/cifar.html","The recent explosive interest on transformers has suggested their potential to become powerful ""universal"" models for computer vision tasks, such as classification, detection, and segmentation. However, how further transformers can go - are they ready to take some more notoriously difficult vision tasks, e.g., generative adversarial networks (GANs)? Driven by that curiosity, we conduct the first pilot study in building a GAN \textbf{completely free of convolutions}, using only pure transformer-based architectures. Our vanilla GAN architecture, dubbed \textbf{TransGAN}, consists of a memory-friendly transformer-based generator that progressively increases feature resolution while decreasing embedding dimension, and a patch-level discriminator that is also transformer-based. We then demonstrate TransGAN to notably benefit from data augmentations (more than standard GANs), a multi-task co-training strategy for the generator, and a locally initialized self-attention that emphasizes the neighborhood smoothness of natural images. Equipped with those findings, TransGAN can effectively scale up with bigger models and high-resolution image datasets. Specifically, our best architecture achieves highly competitive performance compared to current state-of-the-art GANs based on convolutional backbones. Specifically, TransGAN sets \textbf{new state-of-the-art} IS score of 10.10 and FID score of 25.32 on STL-10. It also reaches competitive 8.64 IS score and 11.89 FID score on Cifar-10, and 12.23 FID score on CelebA 64×64, respectively. We also conclude with a discussion of the current limitations and future potential of TransGAN.",Siddharth,Medium,"Transformers, GAN , Image Generation",Y,
DeepCluster Unsupervised learning of visual features,https://arxiv.org/abs/1807.05520,"http://image-net.org , http://projects.dfki.uni-kl.de/yfcc100m/","Clustering is a class of unsupervised learning methods that has been extensively applied and studied in computer vision. Little work has been done to adapt it to the end-to-end training of visual features on large scale datasets. In this work, we present DeepCluster, a clustering method that jointly learns the parameters of a neural network and the cluster assignments of the resulting features. DeepCluster iteratively groups the features with a standard clustering algorithm, k-means, and uses the subsequent assignments as supervision to update the weights of the network. We apply DeepCluster to the unsupervised training of convolutional neural networks on large datasets like ImageNet and YFCC100M. The resulting model outperforms the current state of the art by a significant margin on all the standard benchmarks.",Siddharth,Medium,"Unsupervised Learning, Clustering",Y,
Emotion-Cause Pair Extraction: A New Task to Emotion Analysis in Texts,https://arxiv.org/pdf/1906.01267.pdf,https://github.com/NUSTM/ECPE/tree/master/data_combine,"Emotion cause extraction (ECE), the task aimed at extracting the potential causes behind certain emotions in text, has gained much attention in recent years due to its wide applications. However, it suffers from two shortcomings: 1) the emotion must be annotated before cause extraction in ECE, which greatly limits its applications in real-world scenarios; 2) the way to first annotate emotion and then extract the cause ignores the fact that they are mutually indicative. In this work, we propose a new task: emotion-cause pair extraction (ECPE), which aims to extract the potential pairs of emotions and corresponding causes in a document. We propose a 2-step approach to address this new ECPE task, which first performs individual emotion extraction and cause extraction via multi-task learning, and then conduct emotion-cause pairing and filtering. The experimental results on a benchmark emotion cause corpus prove the feasibility of the ECPE task as well as the effectiveness of our approach. ",Harsh,Medium,"Natural Language Processing, Attention",Y,
 Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer ,https://arxiv.org/abs/1910.10683v3,https://www.tensorflow.org/datasets/catalog/c4,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP). The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice. In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts all text-based language problems into a text-to-text format. Our systematic study compares pre-training objectives, architectures, unlabeled data sets, transfer approaches, and other factors on dozens of language understanding tasks. By combining the insights from our exploration with scale and our new ``Colossal Clean Crawled Corpus'', we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more",Harsh,Medium,"Natural Language Processing, Transfer Learning",Y,
Text Summarization with Pretrained Encoders,https://arxiv.org/abs/1908.08345v2,"https://www.tensorflow.org/datasets/catalog/cnn_dailymail, https://paperswithcode.com/dataset/new-york-times-annotated-corpus, https://www.tensorflow.org/datasets/catalog/xsumm","Bidirectional Encoder Representations from Transformers (BERT) represents the latest incarnation of pretrained language models which have recently advanced a wide range of natural language processing tasks. In this paper, we showcase how BERT can be usefully applied in text summarization and propose a general framework for both extractive and abstractive models. We introduce a novel document-level encoder based on BERT which is able to express the semantics of a document and obtain representations for its sentences. Our extractive model is built on top of this encoder by stacking several inter-sentence Transformer layers. For abstractive summarization, we propose a new fine-tuning schedule which adopts different optimizers for the encoder and the decoder as a means of alleviating the mismatch between the two (the former is pretrained while the latter is not). We also demonstrate that a two-staged fine-tuning approach can further boost the quality of the generated summaries. Experiments on three datasets show that our model achieves state-of-the-art results across the board in both extractive and abstractive settings",Harsh,Medium,"Natural Language Processing, Summarization",Y,
DeblurGAN: Blind Motion Deblurring Using Conditional Adversarial Networks,https://arxiv.org/pdf/1711.07064.pdf,https://drive.google.com/file/d/1H0PIXvJH4c40pk7ou6nAwoxuR4Qh_Sa2/view,"We present DeblurGAN, an end-to-end learned method for motion deblurring. The learning is based on a conditional GAN and the content loss . DeblurGAN achieves state-of-the art performance both in the structural similarity measure and visual appearance. The quality of the deblurring model is also evaluated in a novel way on a real-world problem – object detection on (de-)blurred images. The method is 5 times faster than the closest competitor – DeepDeblur. We also introduce a novel method for generating synthetic motion blurred images from sharp ones, allowing realistic dataset augmentation.",Kushank,Medium,"GAN, Computer Vision, Image De-Blurring",Y,
Multi-Level Factorization Net for person Re-Identification,https://arxiv.org/pdf/1803.09132.pdf,https://www.kaggle.com/pengcw1/market-1501/data,"Key to effective person re-identification (Re-ID) is modelling discriminative and view-invariant factors of person appearance at both high and low semantic levels. Recently developed deep Re-ID models either learn a holistic single semantic level feature representation and/or require laborious human annotation of these factors as attributes. We propose Multi-Level Factorisation Net (MLFN), a novel network architecture that factorises the visual appearance of a person into latent discriminative factors at multiple semantic levels without manual annotation. MLFN is composed of multiple stacked blocks. Each block contains multiple factor modules to model latent factors at a specific level, and factor selection modules that dynamically select the factor modules to interpret the content of each input image. The outputs of the factor selection modules also provide a compact latent factor descriptor that is complementary to the conventional deeply learned features. MLFN achieves state-of-the-art results on three Re-ID datasets, as well as compelling results on the general object categorisation CIFAR-100 dataset.",Kushank,Medium,"Person Re-Identification, Convolutional Neural Networks, Deep Learning",N,
